experiment,pavloviaSessionId,posixTimeSec,cursorPositionXYPx,crosshairPositionXYPx,targetPositionXYPx,blockNumber,block_condition,conditionNumber,conditionName,trialNumber,pxPerCm,viewingDistanceCm,screenWidthPx,screenHeightPx,nearpointXYPx,trialStep,targetBool,crosshairBool
trackingdemo5,SpicyYellowCake312,1738628117.377,"740,444","746,445",,4,4_1,1,Flies_8deg,1,51.39860139860139,41.8,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.386,"740,444","746,445",,4,4_1,1,Flies_8deg,1,51.39860139860139,41.8,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.418,"740,443","746,444",,4,4_1,1,Flies_8deg,1,51.39860139860139,41.8,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.436,"740,442","746,444",,4,4_1,1,Flies_8deg,1,51.39860139860139,41.8,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.45,"740,442","746,444",,4,4_1,1,Flies_8deg,1,51.39860139860139,41.8,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.485,"740,440","745,444",,4,4_1,1,Flies_8deg,1,51.39860139860139,41.8,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.499,"740,439","745,443",,4,4_1,1,Flies_8deg,1,51.39860139860139,41.8,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.516,"739,439","745,443",,4,4_1,1,Flies_8deg,1,51.39860139860139,41.8,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.552,"738,438","744,443",,4,4_1,1,Flies_8deg,1,51.39860139860139,41.8,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.564,"738,438","744,443",,4,4_1,1,Flies_8deg,1,51.39860139860139,41.8,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.579,"738,438","744,443",,4,4_1,1,Flies_8deg,1,51.39860139860139,41.8,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.618,"737,438","743,443",,4,4_1,1,Flies_8deg,1,51.39860139860139,41.8,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.626,"737,437","743,442",,4,4_1,1,Flies_8deg,1,51.39860139860139,41.8,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.643,"737,437","743,442",,4,4_1,1,Flies_8deg,1,51.39860139860139,41.8,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.684,"736,437","743,442",,4,4_1,1,Flies_8deg,1,51.39860139860139,41.8,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.692,"736,437","742,442",,4,4_1,1,Flies_8deg,1,51.39860139860139,41.8,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.711,"736,437","742,442",,4,4_1,1,Flies_8deg,1,51.39860139860139,41.8,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.752,"735,437","742,442",,4,4_1,1,Flies_8deg,1,51.39860139860139,41.8,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628117.76,"735,437","741,442",,4,4_1,1,Flies_8deg,1,51.39860139860139,41.8,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
